Index,Value
1,128
2,82
3,21
4,28
5,149 125 124 123
6,24 12 122 29
7,32
8,13 127 111 81 126
9,89 96 88
10,109
11,T FLY3  10
12,149 124 123
13,23
14,109
15,25
16,27 26
17,T KEEP3 9
18,18 4 135 197
19,T POUR1  NIL
20,T GET3 COME2 4
21,T ARRIVE2 4
24,T RIDE1 148 124 123 91 7
25,T FLY1  7
26,T WALK1 7
27,T RUN1 7
28,108
29,T ARRIVE1 SHOW_UP1 NIL
30,20
31,T FLY4 30
32,G . 9
33,187
36,198 199
37,4
56,G . 15
57,T LEAVE1 NIL
60,T GO1 COME1 4
61,T HURRY1 NIL
66,T RAISE1 186 9
67,T LOWER1 9
72,T ENTER1 ENTER2 NIL
73,T EXIT1 LEAVE1 NIL
74,T TAKE3 MOVE1 NIL
75,T STAB1 NIL
